epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,7009.61,0.65083,0.70353,0.5082,0.80498,0,0.97621,0.96087,0.98434,0.84982,0.96861,0.95369,0.97611,0.63852,0.54141,0.63641,0.37767,0.80116,0,0.00917296,0.00917296,0.00917296
30,7294.96,0.62444,0.69324,0.46214,0.8002,0,0.95722,0.96151,0.98155,0.85483,0.95508,0.95879,0.9822,0.64842,0.5234,0.58738,0.38414,0.79851,0,0.00911469,0.00911469,0.00911469
31,7510.37,0.59343,0.65725,0.43818,0.80194,0,0.9878,0.95415,0.98348,0.84716,0.98649,0.95248,0.9827,0.66203,0.53447,0.62631,0.35575,0.79749,0,0.00905463,0.00905463,0.00905463
32,7739.99,0.6491,0.68655,0.46899,0.80477,0,0.96809,0.95833,0.97945,0.83037,0.96561,0.95593,0.97902,0.65828,0.58049,0.58622,0.39046,0.80033,0,0.00899282,0.00899282,0.00899282
33,7956.72,0.61257,0.67336,0.4674,0.79923,0,0.96465,0.95563,0.9795,0.8566,0.95975,0.95079,0.97334,0.63817,0.49376,0.603,0.36555,0.79665,0,0.00892928,0.00892928,0.00892928
34,8226.32,0.61289,0.68072,0.456,0.8036,0,0.92275,0.9349,0.97079,0.83321,0.91908,0.93609,0.9674,0.65375,0.56152,0.58644,0.44928,0.79836,0,0.00886404,0.00886404,0.00886404
35,8457.77,0.587,0.65144,0.43231,0.79686,0,0.96374,0.96104,0.98102,0.8627,0.96235,0.95984,0.9808,0.66348,0.49992,0.60037,0.35854,0.79545,0,0.00879713,0.00879713,0.00879713
36,8648.73,0.58329,0.6573,0.44321,0.79782,0,0.86367,0.90674,0.93577,0.81267,0.85928,0.90204,0.93008,0.61314,0.53861,0.59747,0.54059,0.80221,0,0.00872857,0.00872857,0.00872857
37,8859.84,0.5906,0.62736,0.43587,0.79466,0,0.97466,0.94763,0.9827,0.86083,0.9734,0.94643,0.98251,0.65708,0.49502,0.65578,0.36353,0.79441,0,0.00865839,0.00865839,0.00865839
38,9091.38,0.57924,0.68304,0.40734,0.79663,0,0.97506,0.97023,0.98288,0.85967,0.97228,0.9682,0.98054,0.67969,0.50304,0.57296,0.34667,0.7935,0,0.00858664,0.00858664,0.00858664
39,9290.6,0.60112,0.64755,0.41766,0.79937,0,0.91213,0.9241,0.96245,0.82603,0.90753,0.91924,0.95228,0.57893,0.57063,0.68672,0.44621,0.80222,0,0.00851333,0.00851333,0.00851333
40,9532.33,0.58794,0.6699,0.40341,0.7985,0,0.96505,0.9557,0.98027,0.8518,0.96364,0.95451,0.97959,0.66618,0.51585,0.55332,0.35972,0.79683,0,0.00843851,0.00843851,0.00843851
41,9773.63,0.57219,0.65658,0.41879,0.80204,0,0.95119,0.96423,0.98267,0.85785,0.94619,0.95864,0.97449,0.65109,0.50021,0.5965,0.3575,0.79655,0,0.0083622,0.0083622,0.0083622
42,10015.9,0.56397,0.61629,0.39785,0.79734,0,0.97459,0.96818,0.98362,0.87113,0.9733,0.96698,0.9819,0.65292,0.48264,0.57973,0.32927,0.79298,0,0.00828443,0.00828443,0.00828443
43,10219.1,0.56348,0.61148,0.39032,0.79396,0,0.84859,0.88095,0.93815,0.80705,0.84676,0.87856,0.93537,0.58079,0.53584,0.63519,0.56091,0.79999,0,0.00820525,0.00820525,0.00820525
44,10476.2,0.54923,0.62975,0.38807,0.79938,0,0.7295,0.85891,0.90693,0.76652,0.72804,0.85771,0.9053,0.62477,0.6262,0.68902,0.7108,0.80593,0,0.00812468,0.00812468,0.00812468
45,10653.2,0.57421,0.63801,0.42379,0.79794,0,0.97418,0.96161,0.98468,0.87631,0.96884,0.95674,0.98025,0.66628,0.46534,0.59008,0.33378,0.79333,0,0.00804277,0.00804277,0.00804277
46,10860.1,0.56263,0.64704,0.41997,0.7964,0,0.95166,0.97165,0.98241,0.87741,0.95036,0.97057,0.98039,0.65296,0.45043,0.57426,0.37333,0.79421,0,0.00795954,0.00795954,0.00795954
47,11042.8,0.55529,0.64962,0.3921,0.79557,0,0.97344,0.95376,0.9845,0.86911,0.97067,0.95129,0.98254,0.64634,0.47508,0.5791,0.34237,0.79435,0,0.00787503,0.00787503,0.00787503
48,11232.7,0.55088,0.67214,0.40349,0.79489,0,0.98223,0.96923,0.98464,0.87138,0.97726,0.96448,0.97927,0.65996,0.47063,0.54258,0.30674,0.79172,0,0.00778929,0.00778929,0.00778929
49,11442.9,0.5899,0.70387,0.40348,0.79671,0,0.96603,0.97382,0.98348,0.85312,0.96475,0.97263,0.98439,0.66316,0.52325,0.57474,0.33711,0.79452,0,0.00770234,0.00770234,0.00770234
50,11659.8,0.54336,0.6516,0.37488,0.79027,0,0.9759,0.96801,0.98322,0.86661,0.97354,0.9653,0.98332,0.65349,0.48534,0.54285,0.31793,0.7931,0,0.00761423,0.00761423,0.00761423
51,11856.7,0.53865,0.6096,0.37593,0.79613,0,0.98309,0.97247,0.98375,0.84664,0.98052,0.97008,0.98,0.67805,0.53292,0.55282,0.33455,0.79532,0,0.007525,0.007525,0.007525
52,12076.5,0.54071,0.585,0.35716,0.78776,0,0.97633,0.97242,0.98442,0.88367,0.97512,0.97123,0.98499,0.64539,0.43764,0.56149,0.29804,0.79107,0,0.00743468,0.00743468,0.00743468
53,12268.2,0.51651,0.62804,0.34962,0.79103,0,0.96345,0.933,0.97904,0.87261,0.96231,0.93181,0.97826,0.63293,0.465,0.56449,0.4219,0.79285,0,0.00734332,0.00734332,0.00734332
54,12490.3,0.52067,0.59736,0.34567,0.79312,0,0.99082,0.95978,0.98426,0.87639,0.98953,0.95858,0.98466,0.68225,0.45477,0.51179,0.30065,0.79083,0,0.00725094,0.00725094,0.00725094
55,12681.3,0.52989,0.60908,0.34744,0.79389,0,0.96233,0.95926,0.98375,0.87193,0.96101,0.95806,0.98528,0.65446,0.46392,0.54515,0.30971,0.79225,0,0.00715761,0.00715761,0.00715761
56,12905.9,0.51863,0.60987,0.35026,0.79523,0,0.97225,0.97834,0.98509,0.87627,0.96976,0.97587,0.98043,0.68545,0.45989,0.53298,0.30573,0.78864,0,0.00706335,0.00706335,0.00706335
57,13092.5,0.51691,0.60701,0.35779,0.79409,0,0.97343,0.97607,0.98505,0.88087,0.96836,0.97495,0.97992,0.66824,0.45002,0.51332,0.30015,0.79269,0,0.0069682,0.0069682,0.0069682
58,13286.9,0.5118,0.60173,0.33327,0.78872,0,0.95517,0.95485,0.98114,0.87811,0.95153,0.95124,0.97597,0.66079,0.45353,0.52075,0.31017,0.79127,0,0.00687222,0.00687222,0.00687222
59,13498.4,0.51679,0.57656,0.33538,0.78851,0,0.98732,0.97573,0.98566,0.88987,0.98606,0.97453,0.98601,0.67268,0.42698,0.53508,0.27197,0.78934,0,0.00677543,0.00677543,0.00677543
60,13708.4,0.49485,0.59363,0.33029,0.7879,0,0.98621,0.97674,0.98606,0.88417,0.98244,0.97302,0.98114,0.67071,0.4324,0.52975,0.28855,0.78833,0,0.00667789,0.00667789,0.00667789
61,13903.9,0.50778,0.59683,0.33076,0.78764,0,0.98072,0.97252,0.98472,0.88757,0.97908,0.9715,0.98446,0.66057,0.42344,0.51706,0.27911,0.78877,0,0.00657963,0.00657963,0.00657963
62,14108.8,0.50948,0.58285,0.33381,0.78649,0,0.98445,0.97134,0.98521,0.88315,0.98023,0.96594,0.98025,0.65759,0.43517,0.54184,0.29244,0.78956,0,0.00648071,0.00648071,0.00648071
63,14324.6,0.50387,0.58325,0.32275,0.78987,0,0.99006,0.97543,0.9854,0.88671,0.98751,0.97304,0.9849,0.6785,0.42322,0.51379,0.2638,0.7878,0,0.00638115,0.00638115,0.00638115
64,14564.4,0.4822,0.5663,0.31984,0.7885,0,0.98212,0.96212,0.98603,0.88405,0.98079,0.96092,0.98641,0.64831,0.43377,0.52093,0.28339,0.79123,0,0.00628101,0.00628101,0.00628101
65,14791.3,0.50564,0.60915,0.33356,0.78953,0,0.98742,0.97675,0.98649,0.88693,0.98489,0.97436,0.98736,0.65976,0.4307,0.53306,0.28054,0.78855,0,0.00618034,0.00618034,0.00618034
66,14999.4,0.51585,0.59115,0.34657,0.7876,0,0.9844,0.97827,0.98654,0.87733,0.98188,0.9758,0.98365,0.68338,0.45743,0.51199,0.28641,0.78821,0,0.00607916,0.00607916,0.00607916
67,15191.7,0.52023,0.61477,0.33895,0.79444,0,0.98666,0.97678,0.98659,0.88793,0.98537,0.97561,0.98674,0.65897,0.424,0.5154,0.27544,0.78937,0,0.00597754,0.00597754,0.00597754
68,15401.1,0.4821,0.57537,0.31227,0.787,0,0.9784,0.9744,0.98541,0.88752,0.97716,0.97313,0.98349,0.68087,0.43447,0.51001,0.28176,0.78855,0,0.00587551,0.00587551,0.00587551
69,15577.8,0.49746,0.5973,0.32253,0.78538,0,0.98213,0.98174,0.98627,0.88985,0.9809,0.98064,0.98354,0.66469,0.41563,0.55831,0.26057,0.78934,0,0.00577311,0.00577311,0.00577311
70,15814.5,0.48168,0.56303,0.3089,0.78691,0,0.97519,0.97783,0.98503,0.87781,0.97413,0.97569,0.98348,0.69586,0.46387,0.51015,0.28035,0.78925,0,0.0056704,0.0056704,0.0056704
71,16002.9,0.48927,0.59218,0.32245,0.78961,0,0.98205,0.97183,0.98489,0.88809,0.98073,0.97064,0.98301,0.66152,0.42916,0.50636,0.27775,0.78924,0,0.00556742,0.00556742,0.00556742
72,16270.4,0.47021,0.54666,0.308,0.78269,0,0.99113,0.97443,0.98699,0.89565,0.98858,0.97203,0.98507,0.67839,0.41185,0.49647,0.25948,0.78747,0,0.00546421,0.00546421,0.00546421
73,16684.6,0.49086,0.6062,0.30994,0.78892,0,0.99116,0.9798,0.98706,0.89581,0.9861,0.97487,0.98127,0.67147,0.41398,0.49015,0.25413,0.78776,0,0.00536081,0.00536081,0.00536081
74,16870.4,0.4866,0.59063,0.30509,0.78854,0,0.98774,0.9751,0.98532,0.88913,0.98513,0.9727,0.98334,0.6671,0.41844,0.48479,0.26822,0.78803,0,0.00525728,0.00525728,0.00525728
75,17071.7,0.47462,0.56284,0.30302,0.78684,0,0.98733,0.97661,0.98864,0.89233,0.98357,0.97288,0.97852,0.65284,0.41261,0.51871,0.26065,0.78796,0,0.00515366,0.00515366,0.00515366
76,17277.6,0.46486,0.53039,0.29541,0.78355,0,0.97872,0.97975,0.98646,0.89441,0.97748,0.97855,0.98639,0.66538,0.40451,0.50461,0.25548,0.78755,0,0.00505,0.00505,0.00505
77,17486.8,0.4696,0.56417,0.29308,0.78565,0,0.98903,0.97249,0.98599,0.89491,0.98195,0.97913,0.98604,0.66924,0.41878,0.50537,0.2568,0.78605,0,0.00494634,0.00494634,0.00494634
78,17719.9,0.48427,0.59139,0.30084,0.78461,0,0.98602,0.98169,0.98659,0.8893,0.9842,0.98207,0.98265,0.66233,0.4183,0.49107,0.25729,0.78789,0,0.00484272,0.00484272,0.00484272
79,17927.2,0.45816,0.54552,0.28802,0.78457,0,0.98275,0.98666,0.98669,0.89192,0.98026,0.98413,0.98423,0.65463,0.41574,0.50393,0.24651,0.7883,0,0.00473919,0.00473919,0.00473919
80,18133.3,0.46072,0.55002,0.28794,0.78258,0,0.99155,0.97554,0.98911,0.89253,0.9865,0.97721,0.9853,0.66028,0.40728,0.48837,0.24622,0.78666,0,0.00463579,0.00463579,0.00463579
81,18293.3,0.46227,0.56815,0.29615,0.78261,0,0.99053,0.97473,0.9891,0.89808,0.98796,0.97233,0.98491,0.65964,0.40053,0.50493,0.2433,0.78485,0,0.00453258,0.00453258,0.00453258
82,18491.1,0.48205,0.57514,0.30016,0.78673,0,0.98569,0.98273,0.98667,0.8973,0.98077,0.97799,0.98174,0.66316,0.40493,0.50476,0.24809,0.78631,0,0.0044296,0.0044296,0.0044296
83,18691.3,0.45392,0.55747,0.2906,0.7839,0,0.98657,0.97928,0.9866,0.89693,0.98657,0.97928,0.9867,0.6725,0.4056,0.51561,0.25619,0.78546,0,0.00432689,0.00432689,0.00432689
84,18865.4,0.43689,0.52009,0.28204,0.78404,0,0.98902,0.98254,0.98624,0.89765,0.98652,0.98008,0.98201,0.65559,0.39241,0.52648,0.24458,0.7873,0,0.00422449,0.00422449,0.00422449
85,19059.2,0.45379,0.55469,0.28308,0.78488,0,0.99226,0.97447,0.98629,0.89626,0.98969,0.97208,0.98292,0.66393,0.39666,0.51714,0.24241,0.78574,0,0.00412246,0.00412246,0.00412246
86,19234.4,0.46219,0.56252,0.28253,0.7847,0,0.99071,0.97351,0.98675,0.89528,0.98418,0.96747,0.97904,0.63074,0.40807,0.54057,0.25104,0.78629,0,0.00402084,0.00402084,0.00402084
87,19404.6,0.45663,0.54235,0.27901,0.78678,0,0.99032,0.97779,0.98704,0.89467,0.98652,0.97413,0.98225,0.64929,0.40453,0.52797,0.2452,0.78701,0,0.00391966,0.00391966,0.00391966
88,19600.8,0.46108,0.55497,0.28402,0.78681,0,0.99044,0.97693,0.98729,0.89579,0.98918,0.97573,0.98761,0.67785,0.40773,0.49691,0.2504,0.78632,0,0.00381899,0.00381899,0.00381899
89,19802.5,0.44955,0.55104,0.27946,0.77968,0,0.98616,0.96786,0.98643,0.89428,0.98344,0.9655,0.9847,0.66681,0.40102,0.4961,0.25361,0.78632,0,0.00371885,0.00371885,0.00371885
90,19994.3,0.43654,0.52243,0.27121,0.78589,0,0.98904,0.98068,0.98745,0.89553,0.98657,0.97829,0.98578,0.6804,0.4092,0.48157,0.23994,0.78579,0,0.00361929,0.00361929,0.00361929
91,20193.5,0.44547,0.5543,0.2757,0.78592,0,0.98874,0.98045,0.9874,0.90012,0.98621,0.97805,0.98544,0.68288,0.39625,0.5029,0.23834,0.78519,0,0.00352037,0.00352037,0.00352037
92,20386.2,0.46146,0.54778,0.28703,0.78771,0,0.99179,0.98048,0.98767,0.90596,0.99053,0.97928,0.98613,0.67361,0.39169,0.49088,0.24025,0.7852,0,0.00342211,0.00342211,0.00342211
93,20568.1,0.4389,0.53136,0.27138,0.78048,0,0.99168,0.98143,0.98767,0.90162,0.98917,0.97903,0.98595,0.6726,0.39172,0.48182,0.23061,0.78475,0,0.00332457,0.00332457,0.00332457
94,20764.1,0.44553,0.54571,0.27759,0.7821,0,0.98271,0.99126,0.98741,0.90114,0.98155,0.99006,0.98569,0.66081,0.38649,0.48968,0.22966,0.78462,0,0.00322778,0.00322778,0.00322778
95,20967.9,0.43211,0.51592,0.27099,0.78504,0,0.99034,0.98159,0.98483,0.89742,0.98783,0.97913,0.98266,0.66329,0.39558,0.47325,0.2386,0.78607,0,0.0031318,0.0031318,0.0031318
96,21183.6,0.43483,0.52289,0.26291,0.78463,0,0.98857,0.98109,0.98742,0.89988,0.98857,0.98109,0.98932,0.65981,0.39244,0.48336,0.23478,0.78596,0,0.00303665,0.00303665,0.00303665
97,21382,0.44504,0.52737,0.28326,0.7852,0,0.98965,0.97859,0.98941,0.89603,0.98965,0.97859,0.98913,0.65945,0.39964,0.48099,0.25241,0.78564,0,0.00294239,0.00294239,0.00294239
98,21596.9,0.43639,0.53286,0.27378,0.78207,0,0.98772,0.98107,0.98737,0.90034,0.98648,0.97987,0.98585,0.67572,0.39064,0.48797,0.23201,0.78479,0,0.00284906,0.00284906,0.00284906
99,21805.8,0.4288,0.52439,0.26081,0.78222,0,0.99057,0.9736,0.98734,0.90219,0.9879,0.97126,0.98552,0.69224,0.39513,0.47987,0.23507,0.78476,0,0.00275668,0.00275668,0.00275668
100,21985.4,0.42847,0.53855,0.25883,0.78131,0,0.99014,0.97449,0.98746,0.90054,0.98749,0.9721,0.98559,0.66308,0.38166,0.4724,0.23229,0.78439,0,0.00266532,0.00266532,0.00266532
101,22180.5,0.45026,0.55688,0.27207,0.78312,0,0.98315,0.98647,0.98949,0.89801,0.97954,0.98288,0.984,0.64622,0.40597,0.46858,0.2355,0.78602,0,0.002575,0.002575,0.002575
102,22376.2,0.44397,0.54362,0.26698,0.78738,0,0.98545,0.97641,0.98941,0.90181,0.98284,0.97402,0.98566,0.6727,0.38452,0.47011,0.24446,0.78449,0,0.00248577,0.00248577,0.00248577
103,22567.7,0.43935,0.54581,0.26447,0.78347,0,0.99158,0.97659,0.98709,0.90061,0.989,0.97419,0.98337,0.66049,0.3915,0.48511,0.2338,0.78492,0,0.00239766,0.00239766,0.00239766
104,22788.7,0.41939,0.51918,0.25222,0.77883,0,0.98977,0.9801,0.98721,0.90417,0.98727,0.9777,0.98457,0.67534,0.37522,0.47547,0.22396,0.78409,0,0.00231071,0.00231071,0.00231071
105,22993.6,0.42595,0.52407,0.252,0.77903,0,0.98564,0.98564,0.98744,0.90601,0.98813,0.97768,0.9837,0.66799,0.37944,0.47887,0.22422,0.78437,0,0.00222497,0.00222497,0.00222497
106,23215.3,0.42319,0.53891,0.25585,0.78467,0,0.98307,0.98035,0.98667,0.90148,0.97931,0.97669,0.98256,0.65182,0.38131,0.47665,0.23362,0.78454,0,0.00214046,0.00214046,0.00214046
107,23438.9,0.42606,0.5315,0.2547,0.77762,0,0.98942,0.97782,0.98735,0.90628,0.98685,0.97543,0.98562,0.67183,0.36754,0.47173,0.22497,0.78396,0,0.00205723,0.00205723,0.00205723
108,23667.9,0.4121,0.51084,0.24794,0.77898,0,0.99244,0.97741,0.98714,0.90442,0.98368,0.9833,0.98495,0.67073,0.36781,0.46519,0.21774,0.78402,0,0.00197532,0.00197532,0.00197532
109,23909,0.40921,0.5076,0.25306,0.78009,0,0.98364,0.97809,0.98771,0.90811,0.97757,0.98304,0.9882,0.6674,0.37003,0.46862,0.22302,0.78376,0,0.00189475,0.00189475,0.00189475
110,24103,0.42323,0.52032,0.25237,0.78539,0,0.99144,0.97977,0.98774,0.90648,0.9889,0.97741,0.98571,0.67446,0.37355,0.47553,0.21944,0.78361,0,0.00181557,0.00181557,0.00181557
111,24294.2,0.41773,0.51469,0.24779,0.78166,0,0.98589,0.98767,0.98744,0.90533,0.98462,0.9864,0.98532,0.68181,0.36909,0.47932,0.21658,0.78356,0,0.0017378,0.0017378,0.0017378
112,24496.9,0.40814,0.51121,0.24273,0.77847,0,0.98564,0.98718,0.98746,0.90763,0.98376,0.98428,0.98572,0.67391,0.37001,0.47856,0.22249,0.78323,0,0.00166149,0.00166149,0.00166149
113,24686.6,0.40544,0.48451,0.24669,0.77926,0,0.98555,0.98767,0.98742,0.90652,0.98428,0.9864,0.98702,0.67288,0.37231,0.47995,0.21807,0.78397,0,0.00158667,0.00158667,0.00158667
114,24896.8,0.41699,0.52851,0.24647,0.78157,0,0.98997,0.97773,0.98765,0.90909,0.98138,0.9814,0.98609,0.67968,0.37402,0.47327,0.22108,0.78382,0,0.00151336,0.00151336,0.00151336
115,25087.1,0.41278,0.53857,0.25188,0.78186,0,0.99201,0.97189,0.98742,0.9089,0.97852,0.98648,0.9894,0.67069,0.37134,0.48362,0.21946,0.7829,0,0.00144161,0.00144161,0.00144161
116,25293.8,0.40034,0.47645,0.2432,0.78116,0,0.99181,0.97724,0.98765,0.91154,0.98184,0.98182,0.98617,0.67221,0.36748,0.47241,0.21475,0.78289,0,0.00137143,0.00137143,0.00137143
117,25489.5,0.41258,0.50512,0.24032,0.77901,0,0.99146,0.97964,0.98786,0.90473,0.99021,0.97844,0.98791,0.67712,0.37076,0.45928,0.21321,0.78302,0,0.00130287,0.00130287,0.00130287
118,25681.7,0.41073,0.54283,0.24352,0.78826,0,0.99032,0.97764,0.98781,0.90935,0.98411,0.98072,0.98602,0.67261,0.37003,0.47281,0.21854,0.78341,0,0.00123596,0.00123596,0.00123596
119,25873.1,0.41836,0.50166,0.24334,0.78205,0,0.98321,0.99006,0.98783,0.90934,0.98194,0.9888,0.98605,0.67243,0.37183,0.47702,0.214,0.7836,0,0.00117072,0.00117072,0.00117072
120,26092.8,0.40748,0.51198,0.23789,0.77539,0,0.98134,0.98997,0.9878,0.90982,0.98007,0.9887,0.98411,0.66195,0.36555,0.46567,0.21379,0.78301,0,0.00110718,0.00110718,0.00110718
121,26299.9,0.39412,0.5034,0.23423,0.78177,0,0.98991,0.97845,0.98778,0.90938,0.98865,0.97725,0.98822,0.678,0.36656,0.46329,0.21091,0.78294,0,0.00104537,0.00104537,0.00104537
122,26500.2,0.39877,0.48612,0.2368,0.77696,0,0.98989,0.9786,0.98773,0.90908,0.98737,0.97613,0.98601,0.68111,0.36551,0.46388,0.21066,0.78307,0,0.000985311,0.000985311,0.000985311
123,26688.2,0.39468,0.50664,0.23377,0.78058,0,0.98354,0.9867,0.98778,0.91121,0.98236,0.9855,0.98613,0.6781,0.36483,0.4531,0.20839,0.7826,0,0.00092704,0.00092704,0.00092704
124,26878.5,0.39874,0.50001,0.2369,0.77648,0,0.99054,0.98048,0.98788,0.91149,0.98802,0.97809,0.98636,0.67618,0.36239,0.45636,0.21216,0.78211,0,0.000870577,0.000870577,0.000870577
125,27085.9,0.39883,0.51159,0.2345,0.77927,0,0.98594,0.98612,0.98773,0.90937,0.9832,0.9855,0.98603,0.67303,0.36254,0.4536,0.20801,0.78222,0,0.000815947,0.000815947,0.000815947
