epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,696.219,0.53098,0.396,1.36204,0.096,0.98285,0.98805,0.98806,0.88066,0.44184,0.37596,1.44671,0.09882,0.0005744,0.0005744,0.0005744
38,718.033,0.54431,0.40295,1.3372,0.10643,0.97929,1,0.98872,0.87006,0.44914,0.38063,1.45197,0.0905,0.0005348,0.0005348,0.0005348
39,738.914,0.58312,0.40619,1.311,0.1018,0.98289,0.99058,0.98946,0.8577,0.48442,0.38767,1.45736,0.08578,0.0004952,0.0004952,0.0004952
40,760.839,0.55732,0.40488,1.33774,0.09792,0.98133,0.99138,0.98955,0.87523,0.4439,0.37485,1.43905,0.08364,0.0004556,0.0004556,0.0004556
41,782.453,0.51545,0.38879,1.38446,0.12048,0.98288,0.98958,0.9903,0.88493,0.4373,0.37325,1.42943,0.08569,0.000416,0.000416,0.000416
42,804.18,0.51421,0.39666,1.34035,0.10989,0.9737,0.99138,0.99086,0.88421,0.44238,0.37504,1.43373,0.08414,0.0003764,0.0003764,0.0003764
43,825.953,0.52159,0.40506,1.33815,0.09383,0.98289,0.99049,0.98952,0.87834,0.45283,0.38115,1.44742,0.08059,0.0003368,0.0003368,0.0003368
44,848.175,0.48615,0.3837,1.40781,0.08655,0.97212,1,0.98753,0.87717,0.45481,0.38443,1.45125,0.08105,0.0002972,0.0002972,0.0002972
45,870.017,0.47828,0.37922,1.33827,0.09446,0.95823,0.9889,0.98574,0.87624,0.43952,0.37906,1.44714,0.07064,0.0002576,0.0002576,0.0002576
46,890.247,0.49934,0.37867,1.3553,0.09405,0.94287,0.99591,0.98445,0.88252,0.43502,0.37671,1.44444,0.07721,0.000218,0.000218,0.000218
47,910.513,0.48057,0.37266,1.34689,0.08365,0.97399,0.96839,0.98498,0.88091,0.4371,0.36936,1.44631,0.08068,0.0001784,0.0001784,0.0001784
48,934.692,0.48807,0.35993,1.36444,0.10257,0.97171,0.98276,0.98535,0.8804,0.4377,0.36475,1.44959,0.07846,0.0001388,0.0001388,0.0001388
49,957.274,0.48386,0.36345,1.3429,0.102,0.97284,0.98276,0.98591,0.88444,0.4416,0.36536,1.45006,0.08553,9.92e-05,9.92e-05,9.92e-05
50,980.084,0.47625,0.35594,1.37326,0.10919,0.97316,0.98276,0.98651,0.88356,0.43518,0.36239,1.45448,0.08283,5.96e-05,5.96e-05,5.96e-05
