epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
38,1109.81,0.57773,0.42746,1.28153,0.09511,0.99188,1,0.995,0.86002,0.50365,0.42125,1.34686,0.12924,0.0005348,0.0005348,0.0005348
39,1121.19,0.58049,0.42993,1.31817,0.12601,0.99503,1,0.995,0.87391,0.50895,0.41142,1.383,0.15672,0.0004952,0.0004952,0.0004952
40,1132.71,0.60051,0.43695,1.33823,0.14371,0.99664,1,0.995,0.87195,0.506,0.40588,1.3803,0.15971,0.0004556,0.0004556,0.0004556
41,1144.29,0.5267,0.43442,1.36107,0.10862,0.99863,1,0.995,0.87886,0.48728,0.39132,1.3767,0.15288,0.000416,0.000416,0.000416
42,1155.45,0.50124,0.42695,1.34504,0.1068,0.99834,1,0.995,0.87635,0.48476,0.38831,1.37406,0.1521,0.0003764,0.0003764,0.0003764
43,1166.62,0.50919,0.41664,1.38445,0.11329,0.99576,1,0.995,0.87032,0.50121,0.39274,1.37466,0.15079,0.0003368,0.0003368,0.0003368
44,1177.84,0.5196,0.40161,1.33825,0.10837,0.97812,1,0.995,0.86192,0.5463,0.41307,1.34633,0.17844,0.0002972,0.0002972,0.0002972
45,1188.83,0.50213,0.39399,1.35874,0.09546,0.97437,1,0.99457,0.86676,0.53508,0.40763,1.33758,0.15902,0.0002576,0.0002576,0.0002576
46,1199.92,0.50107,0.40524,1.39723,0.11282,0.97394,1,0.99415,0.86764,0.52208,0.3945,1.33627,0.15947,0.000218,0.000218,0.000218
47,1210.95,0.49316,0.39161,1.35605,0.08837,0.97859,0.99358,0.99415,0.86944,0.50996,0.39413,1.33902,0.15714,0.0001784,0.0001784,0.0001784
48,1221.88,0.46026,0.42161,1.20725,0.10007,0.97736,0.97826,0.99417,0.86959,0.50778,0.39841,1.34179,0.1581,0.0001388,0.0001388,0.0001388
49,1232.95,0.47037,0.37539,1.37498,0.08289,0.9887,0.97826,0.99417,0.87001,0.50432,0.40267,1.34238,0.1584,9.92e-05,9.92e-05,9.92e-05
50,1244.6,0.48963,0.38124,1.35806,0.07706,1,0.97801,0.99417,0.8703,0.50434,0.40328,1.34292,0.15828,5.96e-05,5.96e-05,5.96e-05
