area,perimeter,width,height,aspect_ratio,target_size
474.3089716620743,87.11481666564941,32,31,1.0322580312174827,1.0
527.1394244991243,91.83882141113281,33,34,0.9705882067474058,1.0
888.8697205670178,119.32511138916016,40,42,0.952380929705216,1.0
485.47826235741377,88.13594818115234,32,32,0.9999999687500011,1.0
606.149595150724,98.48072624206543,36,35,1.0285713991836745,1.0
665.2791641801596,103.17259216308594,38,37,1.0270269992695407,1.0
695.1396319232881,105.60904693603516,35,34,1.0294117344290667,1.0
561.1740334704518,94.75697708129883,35,34,1.0294117344290667,1.0
536.8735682964325,92.6828727722168,33,34,0.9705882067474058,1.0
508.5209876149893,90.2068099975586,33,32,1.0312499677734386,1.0
672.9192693438381,103.76304817199707,37,38,0.9736841849030479,1.0
585.3045243564993,96.77256965637207,35,34,1.0294117344290667,1.0
614.0560467354953,99.12157440185547,36,36,0.999999972222223,1.0
629.3114299550653,100.3448715209961,37,36,1.027777749228396,1.0
675.987100251019,103.99940490722656,36,36,0.999999972222223,1.0
517.579952031374,91.00207901000977,34,33,1.0303029990817274,1.0
442.6743362620473,84.21180534362793,31,31,0.9999999677419364,1.0
550.1256956718862,93.89502334594727,34,34,0.9999999705882362,1.0
420.0835517719388,81.98404693603516,30,30,0.9999999666666678,1.0
349.66907839104533,75.63213729858398,28,27,1.0370369986282593,1.0
561.8614618964493,94.81474685668945,34,34,0.9999999705882362,1.0
627.7015484590083,100.22612190246582,33,33,0.9999999696969707,1.0
727.9778457805514,108.05600929260254,36,35,1.0285713991836745,1.0
680.8629474788904,104.37384796142578,38,37,1.0270269992695407,1.0
564.7134309522808,95.05606269836426,34,34,0.9999999705882362,1.0
583.6082822084427,96.63277626037598,35,35,0.9999999714285723,1.0
680.6595033444464,104.35816764831543,38,38,0.9999999736842113,1.0
712.4064915925264,106.90534210205078,36,34,1.0588234982698972,1.0
539.0538643598557,92.87099266052246,34,34,0.9999999705882362,1.0
585.3387832157314,96.77594375610352,34,33,1.0303029990817274,1.0
611.6247725598514,98.92499542236328,35,34,1.0294117344290667,1.0
737.8816907536238,108.65623092651367,39,39,0.999999974358975,1.0
699.6400305675343,105.80315589904785,39,39,0.999999974358975,1.0
533.5579616762698,92.3959846496582,33,34,0.9705882067474058,1.0
543.9272364480421,93.28927803039551,34,34,0.9999999705882362,1.0
629.7378033399582,100.38652420043945,35,35,0.9999999714285723,1.0
735.499727204442,108.4811897277832,39,39,0.999999974358975,1.0
650.1649448759854,101.9950942993164,36,36,0.999999972222223,1.0
559.6886721588671,94.63142395019531,34,34,0.9999999705882362,1.0
728.320554682985,107.94996643066406,39,39,0.999999974358975,1.0
537.1409421041608,92.7103157043457,34,34,0.9999999705882362,1.0
803.5605337563902,113.38898468017578,41,41,0.9999999756097567,1.0
503.6446186006069,89.76853561401367,32,33,0.969696940312214,1.0
768.2021468356252,110.95226287841797,38,38,0.9999999736842113,1.0
721.0865849331021,107.41254043579102,39,39,0.999999974358975,1.0
492.8475811202079,88.80108833312988,32,32,0.9999999687500011,1.0
527.2533535026014,91.84869003295898,33,32,1.0312499677734386,1.0
508.4933631271124,90.19949913024902,32,32,0.9999999687500011,1.0
663.0674254372716,103.00222778320312,37,36,1.027777749228396,1.0
554.8985166940838,94.22716331481934,33,33,0.9999999696969707,1.0
631.0663874018937,100.48638725280762,35,35,0.9999999714285723,1.0
758.8498850502074,110.18922424316406,39,39,0.999999974358975,1.0
691.7692528776824,105.20668029785156,38,38,0.9999999736842113,1.0
420.46176087111235,82.02937698364258,30,30,0.9999999666666678,1.0
